scenario,date,pair,case,label,subject_id,window_duration,start_time,end_time,fullbody_onset_time,fullbody_onset_delta_t,fullbody_onset_z_score,hands_onset_time,hands_onset_delta_t,hands_onset_z_score,upper_body_onset_time,upper_body_onset_delta_t,upper_body_onset_z_score,head_onset_time,head_onset_delta_t,head_onset_z_score
1,20231208,005-006,A,0,005,1.0,6.9,7.9,7.633,0.267,2.211,7.366,0.534,2.289,7.633,0.267,2.334,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,1.0,12.9,13.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.532,0.368,3.38
1,20231208,005-006,D,0,005,1.0,15.2,16.2,15.298,0.902,2.53,15.265,0.935,2.282,15.265,0.935,2.145,15.432,0.768,2.373
1,20231208,005-006,A,0,005,1.0,28.0,29.0,28.031,0.969,5.015,28.031,0.969,2.853,28.031,0.969,4.236,28.031,0.969,2.301
1,20231208,005-006,C,1,5,1.0,36.2,37.2,36.23,0.97,4.029,36.43,0.77,2.628,36.43,0.77,2.45,37.03,0.17,2.207
1,20231208,005-006,C,1,6,1.0,38.8,39.8,39.129,0.671,2.262,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,1.0,40.6,41.6,40.629,0.971,3.592,40.629,0.971,3.318,40.629,0.971,3.135,40.929,0.671,2.21
1,20231208,005-006,A,0,005,1.0,44.1,45.1,44.129,0.971,3.55,44.529,0.571,2.119,44.529,0.571,2.583,44.129,0.971,8.699
1,20231208,005-006,A,0,005,1.0,45.8,46.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,1.0,46.8,47.7,46.962,0.738,2.198,46.962,0.738,2.764,46.962,0.738,2.515,46.895,0.805,2.035
1,20231208,005-006,A,0,005,1.0,56.8,57.8,56.828,0.972,2.301,56.894,0.906,2.456,56.861,0.939,2.096,57.094,0.706,3.663
13,20231208,005-006,C,1,5,1.0,7.1,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,B,1,6,1.0,9.6,10.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,1.0,10.6,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.0,13.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.0,17.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.0,18.2,19.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.0,19.4,20.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
