scenario,date,pair,case,label,subject_id,window_duration,shift_tau,start_time,end_time
1,20231208,005-006,A,0,005,3.0,1.0,3.9,6.9
1,20231208,005-006,A,0,005,3.0,1.0,9.9,12.9
1,20231208,005-006,D,0,005,3.0,1.0,12.2,15.2
1,20231208,005-006,A,0,005,3.0,1.0,25.0,28.0
1,20231208,005-006,C,1,5,3.0,1.0,33.2,36.2
1,20231208,005-006,C,1,6,3.0,1.0,35.8,38.8
1,20231208,005-006,A,0,005,3.0,1.0,37.6,40.6
1,20231208,005-006,A,0,005,3.0,1.0,41.1,44.1
1,20231208,005-006,A,0,005,3.0,1.0,42.8,45.8
1,20231208,005-006,A,0,005,3.0,1.0,43.7,46.7
1,20231208,005-006,A,0,005,3.0,1.0,53.8,56.8
13,20231208,005-006,C,1,5,3.0,1.0,4.1,7.1
13,20231208,005-006,B,1,6,3.0,1.0,6.6,9.6
13,20231208,005-006,C,1,5,3.0,1.0,7.5,10.5
13,20231208,005-006,A,0,006,3.0,1.0,10.0,13.0
13,20231208,005-006,A,0,006,3.0,1.0,14.0,17.0
13,20231208,005-006,A,0,006,3.0,1.0,15.2,18.2
13,20231208,005-006,A,0,006,3.0,1.0,16.4,19.4
13,20231208,005-006,A,0,006,3.0,1.0,18.7,21.7
13,20231208,005-006,A,0,006,3.0,1.0,20.3,23.3
13,20231208,005-006,A,0,006,3.0,1.0,23.2,26.2
13,20231208,005-006,C,1,6,3.0,1.0,25.5,28.5
13,20231208,005-006,D,0,005,3.0,1.0,27.0,30.0
13,20231208,005-006,C,1,5,3.0,1.0,33.4,36.4
13,20231208,005-006,D,0,006,3.0,1.0,36.5,39.5
13,20231208,005-006,A,0,006,3.0,1.0,38.7,41.7
13,20231208,005-006,A,0,006,3.0,1.0,43.3,46.3
13,20231208,005-006,C,1,6,3.0,1.0,44.9,47.9
13,20231208,005-006,C,1,5,3.0,1.0,46.8,49.8
13,20231208,005-006,C,1,6,3.0,1.0,47.7,50.7
13,20231208,005-006,C,1,5,3.0,1.0,49.1,52.1
13,20231208,005-006,C,1,6,3.0,1.0,50.0,53.0
13,20231208,005-006,C,1,5,3.0,1.0,50.6,53.6
26,20240126,006-008,C,1,8,3.0,1.0,6.4,9.4
26,20240126,006-008,C,1,6,3.0,1.0,7.7,10.7
26,20240126,006-008,C,1,8,3.0,1.0,15.0,18.0
26,20240126,006-008,C,1,6,3.0,1.0,19.3,22.3
26,20240126,006-008,C,1,8,3.0,1.0,19.5,22.5
26,20240126,006-008,C,1,6,3.0,1.0,21.2,24.2
26,20240126,006-008,C,1,8,3.0,1.0,22.0,25.0
26,20240126,006-008,C,1,6,3.0,1.0,23.5,26.5
26,20240126,006-008,D,0,008,3.0,1.0,29.3,32.3
26,20240126,006-008,A,0,008,3.0,1.0,32.0,35.0
26,20240126,006-008,B,1,8,3.0,1.0,36.9,39.9
26,20240126,006-008,C,1,6,3.0,1.0,38.0,41.0
26,20240126,006-008,D,0,008,3.0,1.0,40.3,43.3
26,20240126,006-008,A,0,008,3.0,1.0,46.0,49.0
26,20240126,006-008,B,1,8,3.0,1.0,47.2,50.2
27,20231208,005-006,C,1,5,3.0,1.0,1.3,4.3
27,20231208,005-006,B,1,6,3.0,1.0,2.7,5.7
27,20231208,005-006,C,1,5,3.0,1.0,2.8,5.8
27,20231208,005-006,B,1,6,3.0,1.0,10.0,13.0
27,20231208,005-006,A,0,005,3.0,1.0,13.5,16.5
27,20231208,005-006,C,1,5,3.0,1.0,16.0,19.0
27,20231208,005-006,C,1,6,3.0,1.0,17.1,20.1
27,20231208,005-006,C,1,5,3.0,1.0,19.5,22.5
27,20231208,005-006,C,1,6,3.0,1.0,22.4,25.4
27,20231208,005-006,A,0,005,3.0,1.0,43.1,46.1
27,20231208,005-006,A,0,005,3.0,1.0,44.5,47.5
27,20231208,005-006,D,0,005,3.0,1.0,47.4,50.4
27,20240126,006-008,A,0,006,3.0,1.0,4.3,7.3
27,20240126,006-008,A,0,006,3.0,1.0,5.8,8.8
27,20240126,006-008,B,1,6,3.0,1.0,11.8,14.8
27,20240126,006-008,D,0,008,3.0,1.0,18.5,21.5
27,20240126,006-008,B,1,8,3.0,1.0,19.5,22.5
27,20240126,006-008,B,1,6,3.0,1.0,20.2,23.2
27,20240126,006-008,C,1,8,3.0,1.0,25.8,28.8
27,20240126,006-008,C,1,6,3.0,1.0,28.5,31.5
27,20240126,006-008,B,1,8,3.0,1.0,34.7,37.7
27,20240126,006-008,B,1,6,3.0,1.0,38.1,41.1
27,20240126,006-008,A,0,008,3.0,1.0,39.2,42.2
27,20240126,006-008,C,1,8,3.0,1.0,49.0,52.0
27,20240126,006-008,C,1,6,3.0,1.0,50.2,53.2
27,20240126,006-008,C,1,8,3.0,1.0,52.5,55.5
27,20240126,006-008,B,1,6,3.0,1.0,53.7,56.7
