scenario,date,pair,case,label,subject_id,window_duration,shift_tau,start_time,end_time
1,20231208,005-006,A,0,005,3.0,0.0,4.9,7.9
1,20231208,005-006,A,0,005,3.0,0.0,10.9,13.9
1,20231208,005-006,D,0,005,3.0,0.0,13.2,16.2
1,20231208,005-006,A,0,005,3.0,0.0,26.0,29.0
1,20231208,005-006,C,1,5,3.0,0.0,34.2,37.2
1,20231208,005-006,C,1,6,3.0,0.0,36.8,39.8
1,20231208,005-006,A,0,005,3.0,0.0,38.6,41.6
1,20231208,005-006,A,0,005,3.0,0.0,42.1,45.1
1,20231208,005-006,A,0,005,3.0,0.0,43.8,46.8
1,20231208,005-006,A,0,005,3.0,0.0,44.7,47.7
1,20231208,005-006,A,0,005,3.0,0.0,54.8,57.8
13,20231208,005-006,C,1,5,3.0,0.0,5.1,8.1
13,20231208,005-006,B,1,6,3.0,0.0,7.6,10.6
13,20231208,005-006,C,1,5,3.0,0.0,8.5,11.5
13,20231208,005-006,A,0,006,3.0,0.0,11.0,14.0
13,20231208,005-006,A,0,006,3.0,0.0,15.0,18.0
13,20231208,005-006,A,0,006,3.0,0.0,16.2,19.2
13,20231208,005-006,A,0,006,3.0,0.0,17.4,20.4
13,20231208,005-006,A,0,006,3.0,0.0,19.7,22.7
13,20231208,005-006,A,0,006,3.0,0.0,21.3,24.3
13,20231208,005-006,A,0,006,3.0,0.0,24.2,27.2
13,20231208,005-006,C,1,6,3.0,0.0,26.5,29.5
13,20231208,005-006,D,0,005,3.0,0.0,28.0,31.0
13,20231208,005-006,C,1,5,3.0,0.0,34.4,37.4
13,20231208,005-006,D,0,006,3.0,0.0,37.5,40.5
13,20231208,005-006,A,0,006,3.0,0.0,39.7,42.7
13,20231208,005-006,A,0,006,3.0,0.0,44.3,47.3
13,20231208,005-006,C,1,6,3.0,0.0,45.9,48.9
13,20231208,005-006,C,1,5,3.0,0.0,47.8,50.8
13,20231208,005-006,C,1,6,3.0,0.0,48.7,51.7
13,20231208,005-006,C,1,5,3.0,0.0,50.1,53.1
13,20231208,005-006,C,1,6,3.0,0.0,51.0,54.0
13,20231208,005-006,C,1,5,3.0,0.0,51.6,54.6
26,20240126,006-008,C,1,8,3.0,0.0,7.4,10.4
26,20240126,006-008,C,1,6,3.0,0.0,8.7,11.7
26,20240126,006-008,C,1,8,3.0,0.0,16.0,19.0
26,20240126,006-008,C,1,6,3.0,0.0,20.3,23.3
26,20240126,006-008,C,1,8,3.0,0.0,20.5,23.5
26,20240126,006-008,C,1,6,3.0,0.0,22.2,25.2
26,20240126,006-008,C,1,8,3.0,0.0,23.0,26.0
26,20240126,006-008,C,1,6,3.0,0.0,24.5,27.5
26,20240126,006-008,D,0,008,3.0,0.0,30.3,33.3
26,20240126,006-008,A,0,008,3.0,0.0,33.0,36.0
26,20240126,006-008,B,1,8,3.0,0.0,37.9,40.9
26,20240126,006-008,C,1,6,3.0,0.0,39.0,42.0
26,20240126,006-008,D,0,008,3.0,0.0,41.3,44.3
26,20240126,006-008,A,0,008,3.0,0.0,47.0,50.0
26,20240126,006-008,B,1,8,3.0,0.0,48.2,51.2
27,20231208,005-006,C,1,6,3.0,0.0,0.5,3.5
27,20231208,005-006,C,1,5,3.0,0.0,2.3,5.3
27,20231208,005-006,B,1,6,3.0,0.0,3.7,6.7
27,20231208,005-006,C,1,5,3.0,0.0,3.8,6.8
27,20231208,005-006,B,1,6,3.0,0.0,11.0,14.0
27,20231208,005-006,A,0,005,3.0,0.0,14.5,17.5
27,20231208,005-006,C,1,5,3.0,0.0,17.0,20.0
27,20231208,005-006,C,1,6,3.0,0.0,18.1,21.1
27,20231208,005-006,C,1,5,3.0,0.0,20.5,23.5
27,20231208,005-006,C,1,6,3.0,0.0,23.4,26.4
27,20231208,005-006,A,0,005,3.0,0.0,44.1,47.1
27,20231208,005-006,A,0,005,3.0,0.0,45.5,48.5
27,20231208,005-006,D,0,005,3.0,0.0,48.4,51.4
27,20240126,006-008,A,0,006,3.0,0.0,5.3,8.3
27,20240126,006-008,A,0,006,3.0,0.0,6.8,9.8
27,20240126,006-008,B,1,6,3.0,0.0,12.8,15.8
27,20240126,006-008,D,0,008,3.0,0.0,19.5,22.5
27,20240126,006-008,B,1,8,3.0,0.0,20.5,23.5
27,20240126,006-008,B,1,6,3.0,0.0,21.2,24.2
27,20240126,006-008,C,1,8,3.0,0.0,26.8,29.8
27,20240126,006-008,C,1,6,3.0,0.0,29.5,32.5
27,20240126,006-008,B,1,8,3.0,0.0,35.7,38.7
27,20240126,006-008,B,1,6,3.0,0.0,39.1,42.1
27,20240126,006-008,A,0,008,3.0,0.0,40.2,43.2
