scenario,date,pair,case,label,subject_id,window_duration,start_time,end_time,fullbody_onset_time,fullbody_onset_delta_t,fullbody_onset_z_score,hands_onset_time,hands_onset_delta_t,hands_onset_z_score,upper_body_onset_time,upper_body_onset_delta_t,upper_body_onset_z_score,head_onset_time,head_onset_delta_t,head_onset_z_score
1,20231208,005-006,A,0,005,0.5,7.4,7.9,7.633,0.267,2.211,7.633,0.267,2.485,7.633,0.267,2.334,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,0.5,13.4,13.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.532,0.368,3.38
1,20231208,005-006,D,0,005,0.5,15.7,16.2,15.732,0.468,2.54,-1.0,-1.0,-1.0,15.732,0.468,2.319,15.765,0.435,2.32
1,20231208,005-006,A,0,005,0.5,28.5,29.0,28.53,0.47,6.871,28.53,0.47,7.308,28.53,0.47,6.672,-1.0,-1.0,-1.0
1,20231208,005-006,C,1,5,0.5,36.7,37.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.03,0.17,2.207
1,20231208,005-006,C,1,6,0.5,39.3,39.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,0.5,41.1,41.6,41.129,0.471,2.147,41.229,0.371,2.833,41.229,0.371,2.611,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,0.5,44.6,45.1,44.629,0.471,8.252,44.629,0.471,9.791,44.629,0.471,9.029,44.629,0.471,2.432
1,20231208,005-006,A,0,005,0.5,46.3,46.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,0.5,47.2,47.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,0.5,57.3,57.8,57.328,0.472,2.526,57.361,0.439,2.012,57.361,0.439,2.521,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,0.5,7.6,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,B,1,6,0.5,10.1,10.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,0.5,11.0,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,13.5,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,17.5,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,18.7,19.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,19.9,20.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,22.2,22.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,23.8,24.3,23.831,0.469,2.718,23.831,0.469,2.266,23.831,0.469,2.368,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,26.7,27.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,0.5,29.0,29.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,D,0,005,0.5,30.5,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,0.5,36.9,37.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,D,0,006,0.5,40.0,40.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,42.2,42.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,0.5,46.8,47.3,46.895,0.405,3.497,46.895,0.405,3.363,46.862,0.438,2.3,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,0.5,48.4,48.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,0.5,50.3,50.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,0.5,51.2,51.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,0.5,52.6,53.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,0.5,53.5,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,0.5,54.1,54.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,8,0.5,9.9,10.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,6,0.5,11.2,11.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,8,0.5,18.5,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,6,0.5,22.8,23.3,22.831,0.469,3.075,22.831,0.469,2.514,22.831,0.469,2.123,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,8,0.5,23.3,23.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,6,0.5,24.7,25.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,8,0.5,25.5,26.0,25.897,0.103,3.167,25.897,0.103,2.787,25.897,0.103,3.256,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,6,0.5,27.0,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,D,0,008,0.5,32.8,33.3,33.13,0.17,2.839,33.13,0.17,2.519,33.13,0.17,2.748,32.963,0.337,2.378
26,20240126,006-008,A,0,008,0.5,35.5,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,B,1,8,0.5,40.4,40.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,6,0.5,41.5,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,D,0,008,0.5,43.8,44.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,A,0,008,0.5,49.5,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,B,1,8,0.5,50.7,51.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20231208,005-006,C,1,6,0.5,3.0,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20231208,005-006,C,1,5,0.5,4.8,5.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.299,0.001,2.562
27,20231208,005-006,B,1,6,0.5,6.2,6.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20231208,005-006,C,1,5,0.5,6.7,6.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20240126,006-008,A,0,006,0.5,7.8,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20240126,006-008,A,0,006,0.5,9.3,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20231208,005-006,B,1,6,0.5,13.5,14.0,-1.0,-1.0,-1.0,13.999,0.001,2.322,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20240126,006-008,B,1,6,0.5,15.3,15.8,-1.0,-1.0,-1.0,15.532,0.268,2.591,15.532,0.268,2.095,-1.0,-1.0,-1.0
27,20231208,005-006,A,0,005,0.5,17.0,17.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20231208,005-006,C,1,5,0.5,19.5,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20231208,005-006,C,1,6,0.5,20.6,21.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20240126,006-008,D,0,008,0.5,22.0,22.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,20231208,005-006,C,1,5,0.5,23.0,23.5,23.298,0.202,2.666,23.298,0.202,2.78,23.264,0.236,2.245,23.264,0.236,2.783
