scenario,date,pair,case,label,subject_id,window_duration,shift_tau,start_time,end_time
1,20231208,005-006,A,0,005,3.0,0.5,4.4,7.4
1,20231208,005-006,A,0,005,3.0,0.5,10.4,13.4
1,20231208,005-006,D,0,005,3.0,0.5,12.7,15.7
1,20231208,005-006,A,0,005,3.0,0.5,25.5,28.5
1,20231208,005-006,C,1,5,3.0,0.5,33.7,36.7
1,20231208,005-006,C,1,6,3.0,0.5,36.3,39.3
1,20231208,005-006,A,0,005,3.0,0.5,38.1,41.1
1,20231208,005-006,A,0,005,3.0,0.5,41.6,44.6
1,20231208,005-006,A,0,005,3.0,0.5,43.3,46.3
1,20231208,005-006,A,0,005,3.0,0.5,44.2,47.2
1,20231208,005-006,A,0,005,3.0,0.5,54.3,57.3
13,20231208,005-006,C,1,5,3.0,0.5,4.6,7.6
13,20231208,005-006,B,1,6,3.0,0.5,7.1,10.1
13,20231208,005-006,C,1,5,3.0,0.5,8.0,11.0
13,20231208,005-006,A,0,006,3.0,0.5,10.5,13.5
13,20231208,005-006,A,0,006,3.0,0.5,14.5,17.5
13,20231208,005-006,A,0,006,3.0,0.5,15.7,18.7
13,20231208,005-006,A,0,006,3.0,0.5,16.9,19.9
13,20231208,005-006,A,0,006,3.0,0.5,19.2,22.2
13,20231208,005-006,A,0,006,3.0,0.5,20.8,23.8
13,20231208,005-006,A,0,006,3.0,0.5,23.7,26.7
13,20231208,005-006,C,1,6,3.0,0.5,26.0,29.0
13,20231208,005-006,D,0,005,3.0,0.5,27.5,30.5
13,20231208,005-006,C,1,5,3.0,0.5,33.9,36.9
13,20231208,005-006,D,0,006,3.0,0.5,37.0,40.0
13,20231208,005-006,A,0,006,3.0,0.5,39.2,42.2
13,20231208,005-006,A,0,006,3.0,0.5,43.8,46.8
13,20231208,005-006,C,1,6,3.0,0.5,45.4,48.4
13,20231208,005-006,C,1,5,3.0,0.5,47.3,50.3
13,20231208,005-006,C,1,6,3.0,0.5,48.2,51.2
13,20231208,005-006,C,1,5,3.0,0.5,49.6,52.6
13,20231208,005-006,C,1,6,3.0,0.5,50.5,53.5
13,20231208,005-006,C,1,5,3.0,0.5,51.1,54.1
26,20240126,006-008,C,1,8,3.0,0.5,6.9,9.9
26,20240126,006-008,C,1,6,3.0,0.5,8.2,11.2
26,20240126,006-008,C,1,8,3.0,0.5,15.5,18.5
26,20240126,006-008,C,1,6,3.0,0.5,19.8,22.8
26,20240126,006-008,C,1,8,3.0,0.5,20.0,23.0
26,20240126,006-008,C,1,6,3.0,0.5,21.7,24.7
26,20240126,006-008,C,1,8,3.0,0.5,22.5,25.5
26,20240126,006-008,C,1,6,3.0,0.5,24.0,27.0
26,20240126,006-008,D,0,008,3.0,0.5,29.8,32.8
26,20240126,006-008,A,0,008,3.0,0.5,32.5,35.5
26,20240126,006-008,B,1,8,3.0,0.5,37.4,40.4
26,20240126,006-008,C,1,6,3.0,0.5,38.5,41.5
26,20240126,006-008,D,0,008,3.0,0.5,40.8,43.8
26,20240126,006-008,A,0,008,3.0,0.5,46.5,49.5
26,20240126,006-008,B,1,8,3.0,0.5,47.7,50.7
27,20231208,005-006,C,1,6,3.0,0.5,0.0,3.0
27,20231208,005-006,C,1,5,3.0,0.5,1.8,4.8
27,20231208,005-006,B,1,6,3.0,0.5,3.2,6.2
27,20231208,005-006,C,1,5,3.0,0.5,3.3,6.3
27,20231208,005-006,B,1,6,3.0,0.5,10.5,13.5
27,20231208,005-006,A,0,005,3.0,0.5,14.0,17.0
27,20231208,005-006,C,1,5,3.0,0.5,16.5,19.5
27,20231208,005-006,C,1,6,3.0,0.5,17.6,20.6
27,20231208,005-006,C,1,5,3.0,0.5,20.0,23.0
27,20231208,005-006,C,1,6,3.0,0.5,22.9,25.9
27,20231208,005-006,A,0,005,3.0,0.5,43.6,46.6
27,20231208,005-006,A,0,005,3.0,0.5,45.0,48.0
27,20231208,005-006,D,0,005,3.0,0.5,47.9,50.9
27,20240126,006-008,A,0,006,3.0,0.5,4.8,7.8
27,20240126,006-008,A,0,006,3.0,0.5,6.3,9.3
27,20240126,006-008,B,1,6,3.0,0.5,12.3,15.3
27,20240126,006-008,D,0,008,3.0,0.5,19.0,22.0
27,20240126,006-008,B,1,8,3.0,0.5,20.0,23.0
27,20240126,006-008,B,1,6,3.0,0.5,20.7,23.7
27,20240126,006-008,C,1,8,3.0,0.5,26.3,29.3
27,20240126,006-008,C,1,6,3.0,0.5,29.0,32.0
27,20240126,006-008,B,1,8,3.0,0.5,35.2,38.2
27,20240126,006-008,B,1,6,3.0,0.5,38.6,41.6
27,20240126,006-008,A,0,008,3.0,0.5,39.7,42.7
27,20240126,006-008,C,1,8,3.0,0.5,49.5,52.5
27,20240126,006-008,C,1,6,3.0,0.5,50.7,53.7
