scenario,date,pair,case,label,subject_id,window_duration,start_time,end_time,fullbody_onset_time,fullbody_onset_delta_t,fullbody_onset_z_score,hands_onset_time,hands_onset_delta_t,hands_onset_z_score,upper_body_onset_time,upper_body_onset_delta_t,upper_body_onset_z_score,head_onset_time,head_onset_delta_t,head_onset_z_score
1,20231208,005-006,A,0,005,2.0,5.9,7.9,7.633,0.267,2.211,7.366,0.534,2.289,7.633,0.267,2.334,5.933,1.967,2.394
1,20231208,005-006,A,0,005,2.0,11.9,13.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.732,1.168,2.716
1,20231208,005-006,D,0,005,2.0,14.2,16.2,15.298,0.902,2.53,15.265,0.935,2.282,15.265,0.935,2.145,15.432,0.768,2.373
1,20231208,005-006,A,0,005,2.0,27.0,29.0,27.131,1.869,2.608,27.164,1.836,4.541,27.131,1.869,2.531,27.464,1.536,5.128
1,20231208,005-006,C,1,5,2.0,35.2,37.2,35.796,1.404,2.273,36.43,0.77,2.628,35.796,1.404,2.34,35.863,1.337,3.611
1,20231208,005-006,C,1,6,2.0,37.8,39.8,39.129,0.671,2.262,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,2.0,39.8,41.6,39.896,1.704,2.321,39.929,1.671,3.185,39.896,1.704,2.145,40.163,1.437,3.723
1,20231208,005-006,A,0,005,2.0,43.1,45.1,43.129,1.971,7.162,43.129,1.971,6.472,43.129,1.971,6.257,43.229,1.871,2.931
1,20231208,005-006,A,0,005,2.0,45.1,46.8,45.129,1.671,2.069,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,2.0,46.8,47.7,46.962,0.738,2.198,46.962,0.738,2.764,46.962,0.738,2.515,46.895,0.805,2.035
1,20231208,005-006,A,0,005,2.0,55.8,57.8,55.894,1.906,2.614,55.894,1.906,2.309,55.894,1.906,2.262,56.128,1.672,2.146
13,20231208,005-006,C,1,5,2.0,6.1,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,B,1,6,2.0,8.6,10.6,9.266,1.334,3.57,9.266,1.334,4.588,9.266,1.334,3.927,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,2.0,10.6,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,2.0,12.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,2.0,16.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,2.0,18.0,19.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,2.0,19.2,20.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,2.0,20.7,22.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,2.0,22.7,24.3,23.831,0.469,2.718,23.831,0.469,2.266,23.831,0.469,2.368,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,2.0,25.2,27.2,25.331,1.869,2.075,25.331,1.869,2.205,25.297,1.903,2.043,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,2.0,27.5,29.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,D,0,005,2.0,29.5,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.897,1.103,2.617
13,20231208,005-006,C,1,5,2.0,35.4,37.4,35.996,1.404,2.613,35.963,1.437,2.249,35.963,1.437,2.234,-1.0,-1.0,-1.0
